arealdekke,hovedklasse,underklasse,grunnforhold,ny_arealdekke,framkommelighet
Bebygd,Boligbebyggelse,StoreBoligbygg,*,Høyblokkbebyggelse,None
Bebygd,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Bebygd,GroenneOmr,Lekeplass,*,Snaumark,None
Bebygd,GroenneOmr,*,*,Park,None
Bebygd,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Bebygd,IdrettsOmr,Golfanlegg,*,Golfbane,None
Bebygd,IdrettsOmr,*,*,IdrettsOmr,None
Bebygd,NaeringTjeneste,Bergverk,*,Bergverk,None
Bebygd,NaeringTjeneste,Industri,*,Industri,None
Bebygd,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
Bebygd,TransportTelek,Parkering,*,Parkering,None
Bebygd,*,*,*,Bebygd,None
Ferskvann_elv_bekk,*,*,*,ElvFlate,None
Ferskvann_innsjo_tjern,*,*,*,Innsjo,None
Ferskvann_innsjo_tjern_regulert,*,*,*,InnsjoRegulert,None
Ferskvann_kanal,*,*,*,Kanal,None
Hav,*,*,*,Hav,None
Jordbruk_fulldyrka,Boligbebyggelse,StoreBoligbygg,*,Høyblokkbebyggelse,None
Jordbruk_fulldyrka,Boligbebyggelse,*,*,Bebygd,None
Jordbruk_fulldyrka,Fritidsbebyggelse,*,*,Bebygd,None
Jordbruk_fulldyrka,HelseSosial,*,*,Bebygd,None
Jordbruk_fulldyrka,KulturReligion,*,*,Bebygd,None
Jordbruk_fulldyrka,LandbrukFiske,*,*,Bebygd,None
Jordbruk_fulldyrka,TeknInfrastr,*,*,Bebygd,None
Jordbruk_fulldyrka,UndervisnBhage,*,*,Bebygd,None
Jordbruk_fulldyrka,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Jordbruk_fulldyrka,GroenneOmr,Lekeplass,*,Snaumark,None
Jordbruk_fulldyrka,GroenneOmr,*,*,Park,None
Jordbruk_fulldyrka,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Jordbruk_fulldyrka,IdrettsOmr,Golfanlegg,*,Golfbane,None
Jordbruk_fulldyrka,IdrettsOmr,*,*,IdrettsOmr,None
Jordbruk_fulldyrka,NaeringTjeneste,Bergverk,*,Bergverk,None
Jordbruk_fulldyrka,NaeringTjeneste,Industri,*,Industri,None
Jordbruk_fulldyrka,NaeringTjeneste,*,*,Bebygd,None
Jordbruk_fulldyrka,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
Jordbruk_fulldyrka,TransportTelek,*,*,Bebygd,None
Jordbruk_fulldyrka,*,*,*,Jordbruk,None
Jordbruk_innmarksbeite_aapen,Fritidsbebyggelse,*,*,Bebygd,None
Jordbruk_innmarksbeite_aapen,LandbrukFiske,*,*,Bebygd,None
Jordbruk_innmarksbeite_aapen,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Jordbruk_innmarksbeite_aapen,GroenneOmr,Lekeplass,*,Snaumark,None
Jordbruk_innmarksbeite_aapen,GroenneOmr,*,*,Park,None
Jordbruk_innmarksbeite_aapen,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Jordbruk_innmarksbeite_aapen,IdrettsOmr,Golfanlegg,*,Golfbane,None
Jordbruk_innmarksbeite_aapen,IdrettsOmr,*,*,IdrettsOmr,None
Jordbruk_innmarksbeite_aapen,NaeringTjeneste,Bergverk,*,Bergverk,None
Jordbruk_innmarksbeite_aapen,NaeringTjeneste,Industri,*,Industri,None
Jordbruk_innmarksbeite_aapen,NaeringTjeneste,*,*,Bebygd,None
Jordbruk_innmarksbeite_aapen,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
Jordbruk_innmarksbeite_aapen,*,*,*,Innmarksbeite,None
Jordbruk_innmarksbeite_tresatt,Boligbebyggelse,*,*,Bebygd,None
Jordbruk_innmarksbeite_tresatt,Fritidsbebyggelse,*,*,Bebygd,None
Jordbruk_innmarksbeite_tresatt,LandbrukFiske,*,*,Bebygd,None
Jordbruk_innmarksbeite_tresatt,TeknInfrastr,*,*,Bebygd,None
Jordbruk_innmarksbeite_tresatt,GroenneOmr,GravUrnelund,*,GravUrnelund,Skog
Jordbruk_innmarksbeite_tresatt,GroenneOmr,Lekeplass,*,Snaumark,Skog
Jordbruk_innmarksbeite_tresatt,IdrettsOmr,Alpinanlegg,*,Alpinbakke,Skog
Jordbruk_innmarksbeite_tresatt,IdrettsOmr,Golfanlegg,*,Golfbane,Skog
Jordbruk_innmarksbeite_tresatt,IdrettsOmr,*,*,IdrettsOmr,Skog
Jordbruk_innmarksbeite_tresatt,NaeringTjeneste,Bergverk,*,Bergverk,None
Jordbruk_innmarksbeite_tresatt,NaeringTjeneste,Industri,*,Industri,None
Jordbruk_innmarksbeite_tresatt,NaeringTjeneste,*,*,Bebygd,None
Jordbruk_innmarksbeite_tresatt,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
Jordbruk_innmarksbeite_tresatt,*,*,*,Innmarksbeite,Skog
Jordbruk_innmarksbeite_uspes,Boligbebyggelse,*,*,Bebygd,None
Jordbruk_innmarksbeite_uspes,Fritidsbebyggelse,*,*,Bebygd,None
Jordbruk_innmarksbeite_uspes,HelseSosial,*,*,Bebygd,None
Jordbruk_innmarksbeite_uspes,KulturReligion,*,*,Bebygd,None
Jordbruk_innmarksbeite_uspes,LandbrukFiske,*,*,Bebygd,None
Jordbruk_innmarksbeite_uspes,TeknInfrastr,*,*,Bebygd,None
Jordbruk_innmarksbeite_uspes,UndervisnBhage,*,*,Bebygd,None
Jordbruk_innmarksbeite_uspes,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Jordbruk_innmarksbeite_uspes,GroenneOmr,Lekeplass,*,Snaumark,None
Jordbruk_innmarksbeite_uspes,GroenneOmr,*,*,Park,None
Jordbruk_innmarksbeite_uspes,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Jordbruk_innmarksbeite_uspes,IdrettsOmr,Golfanlegg,*,Golfbane,None
Jordbruk_innmarksbeite_uspes,IdrettsOmr,*,*,IdrettsOmr,None
Jordbruk_innmarksbeite_uspes,NaeringTjeneste,Bergverk,*,Bergverk,None
Jordbruk_innmarksbeite_uspes,NaeringTjeneste,Industri,*,Industri,None
Jordbruk_innmarksbeite_uspes,NaeringTjeneste,*,*,Bebygd,None
Jordbruk_innmarksbeite_uspes,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
Jordbruk_innmarksbeite_uspes,TransportTelek,Parkering,*,Parkering,None
Jordbruk_innmarksbeite_uspes,*,*,*,Innmarksbeite,None
Jordbruk_overflatedyrka,Boligbebyggelse,*,*,Bebygd,None
Jordbruk_overflatedyrka,Fritidsbebyggelse,*,*,Bebygd,None
Jordbruk_overflatedyrka,KulturReligion,*,*,Bebygd,None
Jordbruk_overflatedyrka,LandbrukFiske,*,*,Bebygd,None
Jordbruk_overflatedyrka,TeknInfrastr,*,*,Bebygd,None
Jordbruk_overflatedyrka,UndervisnBhage,*,*,Bebygd,None
Jordbruk_overflatedyrka,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Jordbruk_overflatedyrka,GroenneOmr,Lekeplass,*,Snaumark,None
Jordbruk_overflatedyrka,GroenneOmr,*,*,Park,None
Jordbruk_overflatedyrka,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Jordbruk_overflatedyrka,IdrettsOmr,Golfanlegg,*,Golfbane,None
Jordbruk_overflatedyrka,IdrettsOmr,*,*,IdrettsOmr,None
Jordbruk_overflatedyrka,NaeringTjeneste,Bergverk,*,Bergverk,None
Jordbruk_overflatedyrka,NaeringTjeneste,Industri,*,Industri,None
Jordbruk_overflatedyrka,NaeringTjeneste,*,*,Bebygd,None
Jordbruk_overflatedyrka,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
Jordbruk_overflatedyrka,TransportTelek,*,*,Bebygd,None
Jordbruk_overflatedyrka,*,*,*,Jordbruk,None
Myr_aapen,GroenneOmr,GravUrnelund,*,GravUrnelund,Myr
Myr_aapen,GroenneOmr,Lekeplass,*,Snaumark,Myr
Myr_aapen,IdrettsOmr,Alpinanlegg,*,Alpinbakke,Myr
Myr_aapen,IdrettsOmr,Golfanlegg,*,Golfbane,Myr
Myr_aapen,IdrettsOmr,*,*,IdrettsOmr,Myr
Myr_aapen,*,*,*,Myr,None
Myr_tresatt,GroenneOmr,GravUrnelund,*,GravUrnelund,Myr
Myr_tresatt,GroenneOmr,Lekeplass,*,Snaumark,Myr
Myr_tresatt,GroenneOmr,*,*,Park,Myr
Myr_tresatt,IdrettsOmr,Alpinanlegg,*,Alpinbakke,Myr
Myr_tresatt,IdrettsOmr,Golfanlegg,*,Golfbane,Myr
Myr_tresatt,IdrettsOmr,*,*,IdrettsOmr,Myr
Myr_tresatt,*,*,*,Myr,Skog
Samferdsel,TransportTelek,Bane,*,Bane,None
Samferdsel,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
Samferdsel,TransportTelek,Parkering,*,Parkering,None
Samferdsel,TransportTelek,*,*,Samferdsel,None
Samferdsel,Beredskap,*,*,Bebygd,None
Samferdsel,Boligbebyggelse,StoreBoligbygg,*,Høyblokkbebyggelse,None
Samferdsel,Boligbebyggelse,*,*,Bebygd,None
Samferdsel,Fritidsbebyggelse,*,*,Bebygd,None
Samferdsel,HelseSosial,*,*,Bebygd,None
Samferdsel,KulturReligion,*,*,Bebygd,None
Samferdsel,LandbrukFiske,*,*,Bebygd,None
Samferdsel,TeknInfrastr,*,*,Bebygd,None
Samferdsel,UndervisnBhage,*,*,Bebygd,None
Samferdsel,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Samferdsel,GroenneOmr,Lekeplass,*,Snaumark,None
Samferdsel,GroenneOmr,*,*,Park,None
Samferdsel,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Samferdsel,IdrettsOmr,Golfanlegg,*,Golfbane,None
Samferdsel,IdrettsOmr,*,*,IdrettsOmr,None
Samferdsel,NaeringTjeneste,Bergverk,*,Bergverk,None
Samferdsel,NaeringTjeneste,Industri,*,Industri,None
Samferdsel,NaeringTjeneste,*,*,Bebygd,None
Samferdsel,*,*,*,Samferdsel,None
Skog,GroenneOmr,GravUrnelund,*,GravUrnelund,Skog
Skog,GroenneOmr,Lekeplass,Fjell_i_dagen,Skog,Fjell_i_dagen
Skog,GroenneOmr,Lekeplass,*,Skog,None
Skog,GroenneOmr,*,*,Park,Skog
Skog,IdrettsOmr,Alpinanlegg,Blokkmark,Alpinbakke,Blokkmark
Skog,IdrettsOmr,Alpinanlegg,Fjell_i_dagen,Alpinbakke,Fjell_i_dagen
Skog,IdrettsOmr,Alpinanlegg,*,Alpinbakke,Skog
Skog,IdrettsOmr,Golfanlegg,Fjell_i_dagen,Golfbane,Fjell_i_dagen
Skog,IdrettsOmr,Golfanlegg,*,Golfbane,Skog
Skog,IdrettsOmr,*,Fjell_i_dagen,IdrettsOmr,Fjell_i_dagen
Skog,IdrettsOmr,*,*,IdrettsOmr,Skog
Skog,*,*,Blokkmark,Skog,Blokkmark
Skog,*,*,Fjell_i_dagen,Skog,Fjell_i_dagen
Skog,*,*,*,Skog,None
Snaumark_frisk,GroenneOmr,GravUrnelund,Fjell_i_dagen,GravUrnelund,Fjell_i_dagen
Snaumark_frisk,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Snaumark_frisk,GroenneOmr,Lekeplass,*,Snaumark,None
Snaumark_frisk,GroenneOmr,*,*,Park,None
Snaumark_frisk,IdrettsOmr,Alpinanlegg,Fjell_i_dagen,Alpinbakke,Fjell_i_dagen
Snaumark_frisk,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Snaumark_frisk,IdrettsOmr,Golfanlegg,Fjell_i_dagen,Golfbane,Fjell_i_dagen
Snaumark_frisk,IdrettsOmr,Golfanlegg,*,Golfbane,None
Snaumark_frisk,IdrettsOmr,*,Fjell_i_dagen,IdrettsOmr,Fjell_i_dagen
Snaumark_frisk,IdrettsOmr,*,*,IdrettsOmr,None
Snaumark_frisk,*,*,Blokkmark,Snaumark,Blokkmark
Snaumark_frisk,*,*,Fjell_i_dagen,Snaumark,Fjell_i_dagen
Snaumark_frisk,*,*,*,Snaumark,None
Snaumark_impediment,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Snaumark_impediment,GroenneOmr,Lekeplass,*,Snaumark,None
Snaumark_impediment,IdrettsOmr,Alpinanlegg,Fjell_i_dagen,Alpinbakke,Fjell_i_dagen
Snaumark_impediment,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Snaumark_impediment,IdrettsOmr,Golfanlegg,*,Golfbane,None
Snaumark_impediment,IdrettsOmr,*,*,IdrettsOmr,None
Snaumark_impediment,*,*,Blokkmark,Snaumark,Blokkmark
Snaumark_impediment,*,*,Fjell_i_dagen,Snaumark,Fjell_i_dagen
Snaumark_impediment,*,*,*,Snaumark
Snaumark_konstruert,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Snaumark_konstruert,GroenneOmr,Lekeplass,*,Snaumark,None
Snaumark_konstruert,GroenneOmr,*,*,Park,None
Snaumark_konstruert,IdrettsOmr,*,*,IdrettsOmr,None
Snaumark_konstruert,*,*,*,Snaumark,None
Snaumark_middels_frisk,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Snaumark_middels_frisk,GroenneOmr,Lekeplass,*,Snaumark,None
Snaumark_middels_frisk,GroenneOmr,*,*,Park,None
Snaumark_middels_frisk,IdrettsOmr,Alpinanlegg,Fjell_i_dagen,Alpinbakke,Fjell_i_dagen
Snaumark_middels_frisk,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Snaumark_middels_frisk,IdrettsOmr,Golfanlegg,*,Golfbane,None
Snaumark_middels_frisk,IdrettsOmr,*,Fjell_i_dagen,IdrettsOmr,Fjell_i_dagen
Snaumark_middels_frisk,IdrettsOmr,*,*,IdrettsOmr,None
Snaumark_middels_frisk,*,*,Blokkmark,Snaumark,Blokkmark
Snaumark_middels_frisk,*,*,Fjell_i_dagen,Snaumark,Fjell_i_dagen
Snaumark_middels_frisk,*,*,*,Snaumark,None
Snaumark_skrinn,GroenneOmr,Lekeplass,Fjell_i_dagen,Snaumark,Fjell_i_dagen
Snaumark_skrinn,GroenneOmr,Lekeplass,*,Snaumark,None
Snaumark_skrinn,GroenneOmr,*,*,Snaumark,None
Snaumark_skrinn,IdrettsOmr,Alpinanlegg,Fjell_i_dagen,Alpinbakke,Fjell_i_dagen
Snaumark_skrinn,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Snaumark_skrinn,IdrettsOmr,Golfanlegg,*,Golfbane,None
Snaumark_skrinn,IdrettsOmr,*,Blokkmark,IdrettsOmr,Blokkmark
Snaumark_skrinn,IdrettsOmr,*,Fjell_i_dagen,IdrettsOmr,Fjell_i_dagen
Snaumark_skrinn,IdrettsOmr,*,*,IdrettsOmr,None
Snaumark_skrinn,*,*,Blokkmark,Snaumark,Blokkmark
Snaumark_skrinn,*,*,Fjell_i_dagen,Snaumark,Fjell_i_dagen
Snaumark_skrinn,*,*,*,Snaumark,None
Snaumark_uspesifisert,GroenneOmr,GravUrnelund,*,GravUrnelund,None
Snaumark_uspesifisert,GroenneOmr,Lekeplass,Fjell_i_dagen,Snaumark,Fjell_i_dagen
Snaumark_uspesifisert,GroenneOmr,Lekeplass,*,Snaumark,None
Snaumark_uspesifisert,GroenneOmr,*,Blokkmark,Park,Blokkmark
Snaumark_uspesifisert,GroenneOmr,*,Fjell_i_dagen,Park,Fjell_i_dagen
Snaumark_uspesifisert,GroenneOmr,*,*,Park,None
Snaumark_uspesifisert,IdrettsOmr,Alpinanlegg,Blokkmark,Alpinbakke,Blokkmark
Snaumark_uspesifisert,IdrettsOmr,Alpinanlegg,Fjell_i_dagen,Alpinbakke,Fjell_i_dagen
Snaumark_uspesifisert,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Snaumark_uspesifisert,IdrettsOmr,Golfanlegg,Fjell_i_dagen,Golfanlegg,Fjell_i_dagen
Snaumark_uspesifisert,IdrettsOmr,Golfanlegg,*,Golfanlegg,None
Snaumark_uspesifisert,IdrettsOmr,*,Blokkmark,IdrettsOmr,Blokkmark
Snaumark_uspesifisert,IdrettsOmr,*,Fjell_i_dagen,IdrettsOmr,Fjell_i_dagen
Snaumark_uspesifisert,IdrettsOmr,*,*,IdrettsOmr,None
Snaumark_uspesifisert,*,*,Blokkmark,Snaumark,Blokkmark
Snaumark_uspesifisert,*,*,Fjell_i_dagen,Snaumark,Fjell_i_dagen
Snaumark_uspesifisert,*,*,*,Snaumark,None
Snoisbre,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
Snoisbre,*,*,*,Snoisbre,None